objectid,lad19cd,lad19nm,lad19nmw,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
336,S12000017,Highland, ,241026,858306,-4.66091013,57.58670044,26162840895.3359,5262950.93073788
337,S12000018,Inverclyde, ,227922,670899,-4.75387001,55.90029907,161960766.961276,79800.1037863303
338,S12000019,Midlothian, ,330088,659217,-3.1173799,55.82109833,355271578.540078,126470.984206653
339,S12000020,Moray, ,328024,843593,-3.20186996,57.47679901,2237581345.88173,437889.619454115
340,S12000021,North Ayrshire, ,228984,651640,-4.7247901,55.72790146,885423250.732454,351667.774704551
341,S12000023,Orkney Islands, ,348291,1006584,-2.90028,58.94329834,1013346069.21035,1224578.94034422
342,S12000026,Scottish Borders, ,345891,626135,-2.85865998,55.52590179,4739182460.76435,514889.892656647
343,S12000027,Shetland Islands, ,434516,1180307,-1.37344003,60.50500107,1469089373.96143,2382722.63810102
344,S12000028,South Ayrshire, ,226544,596270,-4.72901011,55.23009872,1224112989.87856,331901.481845639
345,S12000029,South Lanarkshire, ,284634,636071,-3.83272004,55.60449982,1773897188.1528,284527.04870075
346,S12000030,Stirling, ,255980,708769,-4.32595015,56.24950027,2253344400.08764,341962.718226142
347,S12000033,Aberdeen City, ,387763,808478,-2.20397997,57.16699982,185692371.177976,126119.100306206
348,S12000034,Aberdeenshire, ,352286,816276,-2.79204988,57.23469925,6317961142.88343,801445.326802183
349,S12000035,Argyll and Bute, ,200740,715442,-5.22113991,56.28939819,7007718314.21332,3827180.25727028
350,S12000036,City of Edinburgh, ,320193,669416,-3.27825999,55.91120148,263351798.069677,108121.308186776
351,S12000038,Renfrewshire, ,239305,664698,-4.56833982,55.84859848,261487652.192468,131630.686062098
352,S12000039,West Dunbartonshire, ,242904,681587,-4.52074003,56.00139999,177306052.678808,100566.771384532
355,S12000042,Dundee City, ,340291,732145,-2.97094989,56.4776001,59830969.735972,46805.8989467361
356,S12000045,East Dunbartonshire, ,261240,676154,-4.22417021,55.95830154,174489015.071077,99601.25464738
357,S12000047,Fife, ,339197,704726,-2.98235011,56.23120117,1325035448.20642,342638.245706912
358,S12000048,Perth and Kinross, ,284304,744186,-3.88479996,56.57529831,5383759694.71847,619283.644220484
359,S12000049,Glasgow City, ,261534,667033,-4,60,174618776.765443,135765.089234849
360,S12000050,North Lanarkshire, ,277984,665608,-4,60,472311281.567877,163995.328712662
361,W06000001,Isle of Anglesey,Ynys Môn,245222,378346,-4.32290983,53.27939987,714458078.516609,361683.799885177
362,W06000002,Gwynedd,Gwynedd,277968,334967,-3.8155899,52.89830017,2548075137.65104,585237.166896495
363,W06000003,Conwy,Conwy,283293,362562,-3.74645996,53.1473999,1130191402.94209,273510.755140113
364,W06000004,Denbighshire,Sir Ddinbych,309843,355416,-3.34761,53.0882988,838544269.698004,228384.653158451
365,W06000005,Flintshire,Sir y Fflint,321564,369303,-3.17604995,53.21500015,437490011.329417,197515.320820711
366,W06000006,Wrexham,Wrecsam,333523,345387,-2.99202991,53.00170135,503773486.454625,190040.353118764
367,W06000008,Ceredigion,Ceredigion,267126,268437,-3.94993997,52.29800034,1789001343.61455,373788.976636997
368,W06000009,Pembrokeshire,Sir Benfro,199821,221391,-4.90818024,51.85509872,1618677384.72983,726403.189075519
369,W06000010,Carmarthenshire,Sir Gaerfyrddin,247954,224133,-4.2111001,51.89500046,2371133068.97915,564479.838946541
370,W06000011,Swansea,Abertawe,264022,197308,-3.96723008,51.65810013,379659105.555768,271925.947135113
371,W06000012,Neath Port Talbot,Castell-nedd Port Talbot,279261,195412,-3.74638009,51.64450073,442335437.453494,172778.725866789
372,W06000013,Bridgend,Pen-y-bont ar Ogwr,288242,185868,-3.61359,51.56060028,250730334.06057,90598.1202668889
